Age	Gender	Height	Bsketball class
10-12	male	high	yes
12-15	female	high	no
12-15	male	high	yes
16-18	female	low	yes
16-18	male	high	no
16-18	male	low	no
16-18	female	low	yes
12-15	male	high	no
16-18	male	low	yes
16-18	male	low	no
12-15	female	high	yes
16-18	male	high	no
12-15	male	low	yes
16-18	female	low	no
12-15	male	low	yes
16-18	male	high	no
12-15	female	high	yes
12-15	male	high	yes
16-18	male	high	no
16-18	male	low	no
12-15	female	high	yes
12-15	male	low	no
12-15	female	high	yes
12-15	male	high	yes
16-18	male	low	yes
12-15	female	high	yes
16-18	male	low	no
12-15	female	high	yes
16-18	female	high	yes
16-18	male	high	yes
12-15	female	low	no
12-15	male	high	yes
16-18	female	low	no
12-15	male	high	yes
16-18	male	low	no
12-15	female	low	no
16-18	female	low	yes
12-15	male	high	yes
16-18	male	low	no
12-15	male	high	yes
12-15	male	low	no
16-18	male	high	no
16-18	female	low	yes
16-18	female	low	yes
12-15	male	high	yes
12-15	female	high	yes
12-15	male	low	yes
12-15	female	high	yes
16-18	male	low	no
16-18	male	high	no
16-18	male	low	no
12-15	female	high	yes
12-15	male	high	yes
12-15	female	low	yes
16-18	male	low	yes
12-15	female	high	yes
16-18	male	high	yes
12-15	female	low	yes
16-18	male	low	no
12-15	female	high	yes
16-18	male	high	no
12-15	female	low	yes
12-15	female	high	yes
16-18	male	low	no
12-15	female	high	yes
16-18	female	low	no
12-15	female	high	yes
16-18	female	low	no
12-15	male	high	yes
12-15	male	high	yes
12-15	female	high	yes
12-15	male	high	no
16-18	male	low	no
16-18	female	high	no
16-18	male	low	no
16-18	female	high	yes
16-18	male	low	no
12-15	female	low	no
12-15	female	high	yes
12-15	female	low	yes
16-18	male	low	no
12-15	female	high	yes
16-18	female	low	yes
12-15	female	low	yes
12-15	male	high	yes
16-18	female	low	yes
16-18	female	high	no
12-15	male	low	no
12-15	male	high	yes
16-18	female	high	yes
12-15	male	low	yes
16-18	male	low	no
12-15	female	low	yes
16-18	male	high	no
16-18	male	high	yes
12-15	male	high	no
12-15	male	low	yes
12-15	male	low	yes
16-18	male	high	no
12-15	female	low	yes
16-18	female	high	no
16-18	female	low	yes
12-15	female	high	yes
16-18	female	high	yes
12-15	male	low	yes
16-18	male	high	no
12-15	female	low	yes
12-15	male	low	yes
12-15	male	high	yes
12-15	male	low	yes
16-18	female	low	yes
12-15	female	high	yes
16-18	female	low	yes
16-18	female	high	no
16-18	male	low	no
12-15	female	high	yes
12-15	female	high	yes
16-18	female	low	yes
16-18	male	low	no
16-18	male	high	no
12-15	female	high	yes
12-15	male	high	yes
12-15	male	low	yes
16-18	female	high	yes
16-18	female	low	no
16-18	male	high	no
16-18	female	low	no
16-18	male	high	yes
16-18	female	low	yes
16-18	male	low	no
12-15	female	high	yes
16-18	male	low	no
16-18	male	low	no
12-15	female	high	yes
12-15	male	low	yes
12-15	female	high	no
12-15	male	low	yes
16-18	male	low	yes
16-18	male	high	no
16-18	male	low	yes
12-15	male	high	yes
16-18	female	high	yes
16-18	female	low	yes
16-18	female	low	no
16-18	male	low	no
12-15	male	high	yes
12-15	male	low	no
12-15	male	high	no
16-18	female	low	no
12-15	female	high	yes
12-15	female	low	no
16-18	female	high	no
16-18	male	low	no
12-15	female	high	yes
16-18	male	low	yes
16-18	male	low	no
12-15	female	low	no
16-18	female	low	yes
12-15	male	high	yes
12-15	male	high	yes
16-18	female	low	no
16-18	male	low	no
16-18	female	low	no
12-15	female	low	no
12-15	female	high	yes
12-15	female	low	yes
12-15	female	high	yes
16-18	male	high	no
16-18	female	high	yes
16-18	male	high	no
12-15	female	low	yes
12-15	male	low	no
16-18	male	low	yes
16-18	female	high	yes
12-15	female	low	no
16-18	female	high	no
12-15	male	low	yes
16-18	female	high	no
12-15	female	low	no
12-15	male	high	yes
12-15	male	high	yes
16-18	female	high	no
12-15	male	high	yes
12-15	female	high	yes
16-18	female	low	yes
16-18	male	high	no
16-18	male	high	yes
16-18	male	low	no
12-15	male	high	no
12-15	female	high	yes
12-15	male	high	yes
12-15	female	high	yes
16-18	male	high	yes
16-18	male	high	no
12-15	male	low	yes
16-18	female	low	no
16-18	male	low	no
16-18	male	low	no
12-15	female	low	yes
16-18	male	high	yes
16-18	female	low	yes
12-15	female	high	yes
16-18	male	low	no
12-15	female	low	yes
12-15	male	low	yes
12-15	female	low	yes
12-15	male	high	yes
16-18	male	high	no
16-18	male	low	no
16-18	male	low	no
12-15	male	high	yes
12-15	male	high	yes
12-15	female	high	yes
12-15	male	low	yes
16-18	female	high	yes
16-18	female	low	no
16-18	female	low	yes
12-15	female	high	yes
16-18	female	low	no
12-15	female	high	yes
12-15	male	low	yes
12-15	female	high	no
16-18	male	low	no
16-18	male	low	no
16-18	male	high	yes
12-15	female	high	yes
16-18	male	high	no
16-18	male	low	no
12-15	female	low	yes
12-15	female	low	yes
16-18	male	low	no
12-15	male	high	yes
12-15	male	high	yes
12-15	female	low	yes
16-18	male	low	yes
16-18	female	low	no
16-18	male	low	no
16-18	female	high	yes
12-15	male	low	no
16-18	female	low	yes
16-18	male	low	no
12-15	male	high	no
16-18	male	low	no
12-15	female	high	yes
16-18	male	high	no
12-15	male	low	no
16-18	female	low	yes
12-15	male	high	yes
16-18	female	low	no
12-15	female	high	yes
12-15	male	high	yes
