Age   Gender   Dyed Hair   Long Hair
25    Male     Yes         No
32    Female   No          No
40    Male     Yes         No
28    Female   No          No
35    Male     Yes         Yes
29    Female   Yes         No
45    Male     No          No
31    Female   Yes         No
38    Male     No          Yes
27    Female   No          No
42    Male     Yes         Yes
33    Female   Yes         No
50    Male     No          No
36    Female   No          No
48    Male     Yes         Yes
39    Female   No          No
26    Male     Yes         No
34    Female   No          No
43    Male     Yes         No
30    Female   No          No
47    Male     Yes         Yes
37    Female   No          No
44    Male     No          Yes
41    Female   No          No
49    Male     No          Yes
31    Female   No          No
29    Male     Yes         No
32    Female   No          No
39    Male     Yes         No
28    Female   No          No
36    Male     Yes         Yes
35    Female   No          No
43    Male     No          No
30    Female   No          No
38    Male     No          Yes
27    Female   No          No
45    Male     Yes         Yes
33    Female   No          No
46    Male     No          No
34    Female   No          No
41    Male     Yes         Yes
29    Female   No          No
37    Male     Yes         No
38    Female   No          No
48    Male     No          Yes
39    Female   No          No
26    Male     Yes         No
37    Female   No          No
44    Male     Yes         Yes
28    Female   No          No
35    Male     No          Yes
32    Female   No          No
31    Male     No          Yes
43    Male     Yes         No
39    Female   No          No
36    Male     Yes         Yes
30    Female   No          No
47    Male     No          No
37    Female   No          No
